option_type,strike,expiry,mid,T,implied_vol,yf_implied_vol,volume
put,400.0,2026-06-12,0.035,0.07671232876712329,0.7330750034711297,0.7187528125,220
put,400.0,2026-08-21,0.575,0.2684931506849315,0.530416542267996,0.5202684692382812,10
put,400.0,2027-06-17,4.029999999999999,1.0904109589041096,0.37548948888880784,0.355902437133789,58
put,400.0,2028-06-16,7.67,2.0904109589041098,0.3263305658564716,0.29634797897338866,1
put,405.0,2026-05-22,0.01,0.019178082191780823,1.300850007228679,1.15625421875,306
put,405.0,2026-06-12,0.045,0.07671232876712329,0.7348520273293718,0.7187528125,223
put,405.0,2026-08-21,0.595,0.2684931506849315,0.5231769744035054,0.5131884619140624,1
put,405.0,2027-06-17,4.175000000000001,1.0904109589041096,0.37191981832464605,0.3521182952880859,13
put,405.0,2028-06-16,7.9350000000000005,2.0904109589041098,0.3238986773236189,0.2936472003173828,1
put,410.0,2026-05-22,0.01,0.019178082191780823,1.2757712520249636,1.125004375,1
put,410.0,2026-06-12,0.045,0.07671232876712329,0.7208857065220422,0.7050810742187501,362
put,410.0,2026-08-21,0.615,0.2684931506849315,0.5159236416033652,0.50586431640625,4
put,410.0,2027-06-17,4.32,1.0904109589041096,0.36830335401433134,0.3484562225341796,1
put,410.0,2028-06-16,8.205,2.0904109589041098,0.32146858112535565,0.2910837493896483,2
put,415.0,2026-05-22,0.03,0.019178082191780823,1.3616719181283101,1.125004375,20
put,415.0,2026-06-12,0.045,0.07671232876712329,0.7070817139568952,0.6914093359375001,240
put,415.0,2026-08-21,0.645,0.2684931506849315,0.509733882208339,0.5002491381835938,3
put,415.0,2027-06-17,4.470000000000001,1.0904109589041096,0.3647284567676821,0.344733115234375,2
put,415.0,2028-06-16,11.71,2.0904109589041098,0.3463360362623086,0.062509375,2
put,420.0,2026-05-22,0.03,0.019178082191780823,1.3352110962933272,1.09375453125,1
put,420.0,2026-06-12,0.045,0.07671232876712329,0.6934355533914022,0.6777375976562501,122
put,420.0,2026-08-21,0.675,0.2684931506849315,0.5034502562529456,0.4939015454101563,18
put,420.0,2027-06-17,4.630000000000001,1.0904109589041096,0.36127219539748284,0.3411625942993164,3
put,420.0,2028-06-16,8.785,2.0904109589041098,0.31683467709356655,0.28598736480712883,1
put,425.0,2026-05-22,0.01,0.019178082191780823,1.202260874612386,1.0625046875000002,150
put,425.0,2026-06-12,0.055,0.07671232876712329,0.6922001771767007,0.6777375976562501,133
put,425.0,2026-08-21,0.705,0.2684931506849315,0.4970832566201762,0.4875539526367188,3
put,425.0,2027-06-17,4.789999999999999,1.0904109589041096,0.35776611019979687,0.3375005215454102,9
put,425.0,2028-06-16,16.08,2.0904109589041098,0.36718772308559827,0.062509375,1
put,430.0,2026-05-22,0.01,0.019178082191780823,1.178308017028699,1.0468797656250002,200
put,430.0,2026-06-12,0.055,0.07671232876712329,0.678643090703195,0.6640658593750002,62
put,430.0,2026-08-21,0.735,0.2684931506849315,0.4906429481295158,0.4809622216796875,10
put,430.0,2027-06-17,4.960000000000001,1.0904109589041096,0.35436663718380806,0.33396051788330083,1
put,430.0,2028-06-16,9.41,2.0904109589041098,0.31238938637442276,0.2811046011352538,1
put,435.0,2026-05-22,0.01,0.019178082191780823,1.154619106949815,1.0312548437500002,15
put,435.0,2026-06-12,0.055,0.07671232876712329,0.6652337062654766,0.65039412109375,2
put,435.0,2026-08-21,0.765,0.2684931506849315,0.4841377805667579,0.47449255981445315,3
put,435.0,2027-06-17,5.140000000000001,1.0904109589041096,0.35106361403982006,0.330512066040039,6
put,435.0,2028-06-16,15.67,2.0904109589041098,0.3534903484836232,0.062509375,10
put,440.0,2026-05-22,0.01,0.019178082191780823,1.1311875269394602,1.000005,1004
put,440.0,2026-06-12,0.060000000000000005,0.07671232876712329,0.6571786763701722,0.6425816992187501,62
put,440.0,2026-08-21,0.805,0.2684931506849315,0.4784299634998125,0.4687553125,2
put,440.0,2027-06-17,5.32,1.0904109589041096,0.3477040513382991,0.3270330969238281,2
put,440.0,2028-06-16,10.059999999999999,2.0904109589041098,0.3079413871273238,0.27616080291748035,1
put,445.0,2026-05-22,0.01,0.019178082191780823,1.108006810173447,0.98437515625,1
put,445.0,2026-06-12,0.065,0.07671232876712329,0.6487626087807083,0.6347692773437501,60
put,445.0,2026-08-21,0.835,0.2684931506849315,0.4717828409217759,0.462041512451172,6
put,445.0,2027-06-17,5.52,1.0904109589041096,0.34456976328136785,0.3237372314453124,1
put,445.0,2028-06-16,10.405000000000001,2.0904109589041098,0.3057968178479566,0.2737346797180175,26
put,450.0,2026-05-22,0.02,0.019178082191780823,1.1439158961009044,0.9687503125,10
put,450.0,2026-06-12,0.065,0.07671232876712329,0.6355971638233225,0.6210975390625001,29
put,450.0,2026-08-21,0.865,0.2684931506849315,0.4650927095606034,0.45532771240234376,8
put,450.0,2027-06-17,5.705,1.0904109589041096,0.34116844271709273,0.3202582623291015,17
put,450.0,2028-06-16,10.76,2.0904109589041098,0.30367430632608816,0.27138484970092774,1
put,455.0,2026-05-22,0.01,0.019178082191780823,1.0623735762347801,0.937500625,4
put,455.0,2026-06-12,0.07,0.07671232876712329,0.6269334526031369,0.6132851171875001,9
put,455.0,2026-08-21,0.905,0.2684931506849315,0.45911850195927845,0.4493463269042969,3
